asp_code,srf_fr_eng,saturates,aromatics,resins,asptenes,wax,carbon,hydrogen,oxygen,nitrogen,sulfur,nickel,vanadium
AAB-1,15.38,8.6,33.4,38.3,17.3,3.85,82.3,10.6,0.8,0.54,4.7,56,220
AAB-2,16.09,10.8,36.5,35.7,16.7,5.05,85.7,10.59,1.06,0.54,5.4,36,163
AAD-1,16.51,8.6,25.1,41.3,20.5,1.94,81.6,10.8,0.9,0.77,6.9,145,310
AAD-2,16.79,10,26.7,40.1,21.3,1.41,81.9,10.3,1.17,0.9,8.3,135,266
AAF-1,16.26,9.6,37.7,38.3,13.3,4.19,84.5,10.4,1.1,0.55,3.4,35,87
AAF-2,14.81,11.9,34.6,38.7,13,4.2,84.8,10.2,0.82,0.28,4.6,22,102
AAG-1,25.79,8.5,32.5,51.2,5,1.13,85.6,10.5,1.1,1.1,1.3,95,37
AAG-2,27.09,6.6,35.3,51,5,1.11,87,10.5,1.93,1.15,2.9,11,33
AAH,14.48,13.5,28.6,41.4,15.9,4.41,86.3,10.1,1,0.8,2.8,43,84
AAK-1,17.02,5.1,30,41.8,20.1,1.17,83.7,10.2,0.8,0.7,6.4,142,1480
AAK-2,18.09,7.5,30.6,39.4,19.2,1.14,83.2,10.3,1.14,0.7,6.9,117,1165
AAL,16.27,12.1,30.3,37.3,18.9,1.23,83.4,10.1,1,0.6,5.5,98,244
AAM-1,24.11,1.9,41.9,50.3,4,4.21,86.8,11.2,0.5,0.55,1.2,36,58
AAN,17.05,10.3,40.1,33.9,15.7,2.74,84.5,10.2,0.8,0.7,4.3,65,157
AAP,20.44,13.2,36.4,36.9,12.6,4.77,85.9,10.9,0.8,0.6,1.7,68,128
AAS-2,16.27,6.4,46.4,30,17.1,2.85,83.1,9.8,0.96,0.44,6.76,37,133
AAS-3,17.27,3.8,39.9,37.7,17.3,3.53,81.7,10.1,0.83,0.48,6.21,40,137
AAT,15.86,7.7,32.3,42.5,17.3,2.55,83.9,10.1,0.7,0.6,5.1,80,201
AAV,17.94,10.9,38.9,39.5,9.7,3.13,86.4,10.5,1.1,0.8,2.4,41,92
AAW,15.52,9.3,37.1,35.7,17.9,4.2,84.5,10.1,0.9,0.7,4.5,80,334
ABC,13.77,7.1,44,23.2,25.6,2.9,83.2,9.9,0.4,0.3,6.4,25,37
ABD,25.95,10.4,28.4,52.7,7,0.81,86.8,10.7,1.2,1.2,1.6,123,62
ABM-1,24.93,9,29.6,52.4,7.1,1.1,86.3,10.3,1.22,1.09,1.28,111,63
